method,brier_score,brier_calibration_loss,brier_refinement_loss,ece,log_loss,brier_wins,ece_wins,log_wins
uncalibrated_logistic,0.16770102787470342,0.06597876544224532,0.10175016973106327,0.1951163466297747,0.5130765640063606,1,0,1
platt,0.10891139524876456,0.005538813992381106,0.10368658505892611,0.04410644821568803,0.34998450595610897,4,3,4
spline_fixed,0.10833065012265061,0.004927662385359126,0.10355653107894634,0.03792804808977532,0.347659330034141,5,6,5
beta,0.107817781707185,0.006279764156624345,0.1016881994029139,0.04054647541351602,0.3483408130689535,6,1,8
isotonic,0.10780720141141818,0.002843787304407438,0.10513312932880042,0.025949468009313255,0.43934372882834427,7,15,3
haar_gridsearch_best,0.10696369752960994,0.004829106738267189,0.10234928825497272,0.03337024615627332,0.34984811897769524,8,6,10
