method,brier_score,median_brier,ece,log_loss,brier_wins,ece_wins,log_wins,monotonicity_failures,brier_calibration_loss,brier_refinement_loss
uncalibrated_logistic,0.17665789059985096,0.1979188712019072,0.28163005626334653,0.5457745226032037,0,0,0,0,0.10941908732886135,0.06719408837367273
platt,0.0691346403282978,0.0575631253501099,0.017286725026904145,0.24375019998409447,3,2,3,1,0.0015520407454518877,0.06759708281538244
spline_fixed,0.06931144198554208,0.0576167784585828,0.01612767169715338,0.24409055101014568,4,5,4,15,0.0012016874115467133,0.0682443633587516
beta,0.06968093961908318,0.0616073847817053,0.020004591811010435,0.24825032330722815,2,0,2,1,0.002487360140961926,0.06737907296116083
isotonic,0.0698718825329948,0.0598388332642666,0.01694101762080482,0.2914464880300682,5,4,2,0,0.0018590670633943185,0.06817656761374997
haar_gridsearch_best,0.06924202402948501,0.0572095081229059,0.016027256331857632,0.25399371543341925,1,4,4,0,0.0013944780044017173,0.06792331662836756
