method,brier_score,median_brier,ece,log_loss,brier_wins,ece_wins,log_wins,monotonicity_failures,brier_calibration_loss,brier_refinement_loss
uncalibrated_logistic,0.1570289400099477,0.1867255816648172,0.10737361293361602,0.47706683118904875,1,0,1,0,0.023178387741545417,0.13393862925868863
platt,0.14531708792607964,0.1604594546756992,0.06710515468253124,0.4469782373040068,1,1,1,0,0.00886496057797006,0.13696362032652146
spline_fixed,0.14403144423434264,0.1578971944543502,0.05630927585125137,0.44218676221169917,1,1,1,15,0.007875442085737273,0.1363281159179473
beta,0.1432466882158598,0.154450566165156,0.05934367565310679,0.44112453363641724,4,1,5,2,0.009458880180235928,0.13391624802963314
isotonic,0.1431045106467538,0.1512687368235158,0.03333955861481624,0.5588084800720828,1,10,1,0,0.0036488385267376996,0.13961121623770695
haar_gridsearch_best,0.14193772689465148,0.1481437578332949,0.04776846975786268,0.4379380037880207,7,2,6,0,0.007458050448164986,0.13478410910636163
